기준연도,기준월,면적/동(호),전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2019,12월,면적,147148,18298,204,205,342,776,317,389,555,1424,194,514,1057,468,740,946,630,864,781,263,996,875,767,1071,1178,1178,1429
2019,12월,동(호),11353,1355,17,17,34,59,27,35,36,101,14,36,272,34,56,68,50,68,56,19,72,68,68,94,104,104,93
2020,01월,면적,137125,17545,194,186,634,458,192,802,307,762,526,493,1291,447,2027,551,638,774,620,511,1016,379,1301,657,520,890,1369
2020,01월,동(호),10457,1217,16,14,40,35,16,45,21,58,34,35,80,32,136,136,39,49,47,44,73,30,86,52,46,71,85
2020,02월,면적,152542,16515,91,124,448,400,163,986,440,674,360,508,1390,516,1081,509,551,717,719,233,475,552,347,473,961,2706,1091
2020,02월,동(호),11564,1186,6,10,34,31,13,52,29,51,28,36,86,37,67,39,35,48,52,16,34,35,24,24,35,71,249
2020,03월,면적,123721,15521,104,116,186,325,123,563,510,941,354,679,1347,566,696,747,378,564,606,301,1597,579,446,378,345,365,1032
2020,03월,동(호),9243,1027,8,10,14,25,9,36,34,60,28,48,83,39,40,46,27,39,44,19,96,44,29,29,27,26,29
2020,04월,면적,83012,7332,55,50,108,157,99,216,218,230,121,260,542,615,315,283,313,480,280,134,459,239,289,313,776,222,366
2020,04월,동(호),6041,450,4,4,14,12,8,13,15,17,9,18,34,31,17,20,21,29,19,8,18,17,17,21,16,16,13
2020,05월,면적,102531,9767,68,63,834,154,116,289,286,286,142,332,517,532,193,540,590,295,378,125,334,190,152,1122,345,321,1446
2020,05월,동(호),7508,661,5,5,42,12,9,19,16,16,11,20,33,31,14,30,33,20,24,10,14,14,11,94,26,19,101
2020,06월,면적,158348,15761,106,151,267,393,180,427,433,599,288,729,1456,519,563,305,692,1000,765,236,741,452,443,725,1968,987,775
2020,06월,동(호),12120,1134,8,11,28,31,15,28,28,46,22,48,90,39,38,21,43,61,57,17,43,35,34,56,160,75,57
2020,07월,면적,173221,24038,173,223,478,1600,438,985,604,1096,423,1049,1950,1176,959,783,914,2514,1029,358,709,1326,487,783,1116,1524,989
2020,07월,동(호),12994,1751,14,19,40,119,31,63,41,83,32,70,123,77,62,67,62,179,74,50,52,104,36,67,84,114,72
2020,08월,면적,106969,12277,80,310,259,347,248,916,333,479,117,367,858,477,310,582,427,877,377,178,427,922,483,727,931,830,540
2020,08월,동(호),8148,861,6,17,22,28,15,65,22,34,8,26,50,34,23,35,30,61,27,12,30,68,38,58,67,59,38
2020,09월,면적,113844,13207,6,376,150,250,187,869,391,621,94,235,1546,568,540,305,328,503,296,192,549,813,368,788,1080,722,1446
2020,09월,동(호),8548,894,5,20,14,20,14,37,28,37,7,16,96,30,19,21,23,33,23,13,37,58,22,61,67,49,101
2020,10월,면적,113766,10276,51,136,127,125,164,217,217,393,151,201,1263,2277,305,298,373,333,274,188,345,196,195,423,482,665,1263
2020,10월,동(호),8532,651,4,8,11,10,8,13,13,31,9,13,10,142,21,21,22,24,18,10,21,15,14,35,39,43,12
2020,11월,면적,137937,10548,100,179,179,231,132,260,126,260,88,151,189,441,482,298,320,327,274,237,373,464,368,788,994,982,665
2020,11월,동(호),10330,708,6,11,18,19,11,22,8,19,12,18,21,24,39,21,19,23,12,12,22,31,22,67,67,67,43
2020,12월,면적,172359,14060,102,132,247,466,205,485,263,431,172,231,1099,511,788,543,543,699,553,450,763,582,368,1848,696,734,1874
2020,12월,동(호),12893,983,9,10,24,34,13,33,16,33,13,16,74,36,61,36,36,47,36,20,52,36,22,147,57,45,123
2021,01월,면적,113272,14004,61,99,156,246,186,404,315,609,175,317,728,1058,212,284,463,454,323,107,507,743,297,668,4456,704,432
2021,01월,동(호),8385,1058,5,8,14,18,8,22,19,34,12,20,43,76,16,20,31,31,22,7,33,56,23,52,418,44,27
2021,02월,면적,107119,8804,62,125,133,238,143,288,184,761,119,327,665,258,196,264,324,665,354,148,366,208,202,376,878,332,1188
2021,02월,동(호),7849,612,5,6,12,19,9,18,11,41,9,22,40,20,15,20,23,46,21,9,26,17,13,14,32,24,91
2021,03월,면적,105463,8336,67,68,173,672,87,265,219,379,268,253,631,219,224,216,363,400,329,143,244,194,172,485,1174,433,658
2021,03월,동(호),7321,520,5,5,18,44,7,16,15,25,12,17,34,14,14,14,26,23,22,10,18,13,11,37,53,24,41
2021,04월,면적,111192,11709,104,103,477,175,135,617,223,266,92,232,582,1209,249,192,292,398,275,135,183,176,254,2098,363,1825,1054
2021,04월,동(호),8046,918,6,6,85,14,9,42,14,18,7,14,33,89,16,16,21,22,17,8,14,13,14,16,187,140,87
2021,05월,면적,109821,9428,77,117,187,258,74,180,246,353,130,282,623,463,187,291,271,421,372,1049,420,218,175,1468,633,594,412
2021,05월,동(호),7947,674,5,8,21,19,6,12,15,24,8,17,36,32,13,19,20,27,27,71,25,17,12,138,47,40,23
2021,06월,면적,105502,7421,36,74,114,153,196,261,207,370,97,301,514,278,189,360,190,372,372,776,192,311,189,294,776,847,538
